Name:  Albite NaAlSi3O8
Type:  Mineral
Class:  Silicates
Subclass:  Tectosilicates (Framework silicates) (Feldspar Group)
Particle Size:  Fine (less than 75 Micrometers)
Sample No.:  albite.1
Owner:  JHU
Wavelength Range:  IR
Origin: Sample from Rutherford, Virginia, USA via the Smithsonian 
(sample no. NMNHC5390) and Bruce Hemingway.
Description: The sample was a large (2 cm x 2 cm x 2 cm) fragment of 
a twinned crystal.  The sample appeared very fresh.  It was 
translucent and light gray to white in color.  This is a sample of the classic 
Amelia albite.


Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: albite1a.txt

25.04420302	2.4648
24.9237955	2.4707
24.80454022	2.3169
24.68642074	2.3262
24.5694209	2.3408
24.45358465	2.4888
24.3387763	2.4341
24.22504094	2.3188
24.11236361	2.4228
24.00072962	2.4726
23.89012454	2.6103
23.78053421	2.8115
23.67194472	2.9526
23.56434244	2.9902
23.45771395	2.9355
23.35204611	2.8694
23.24732598	2.7102
23.14354087	2.6518
23.04067832	2.7532
22.93872607	2.8948
22.83767211	2.957
22.7375046	3.1106
22.63821194	3.1987
22.53978272	3.011
22.44220571	2.9416
22.3454699	2.9219
22.24956446	2.9006
22.15447875	2.7666
22.06020229	2.4622
21.96677306	2.1311
21.87408402	1.9993
21.7821739	1.9302
21.69103293	1.956
21.60065148	1.9084
21.5110201	1.8564
21.42212949	1.8833
21.33397051	1.8081
21.24653416	1.6851
21.15981159	1.5644
21.0737941	1.6504
20.98847313	1.9622
20.90384024	2.168
20.81988716	2.344
20.73660571	2.5666
20.65398787	2.7869
20.57202575	2.9653
20.49071156	3.0898
20.41003766	3.1448
20.3299965	3.1606
20.25058069	3.1738
20.1717829	3.1645
20.09359597	3.1299
20.01601281	3.145
19.93906621	3.1802
19.8626695	3.1489
19.78685599	3.1484
19.71161901	3.1352
19.63695203	3.0537
19.56284859	2.9809
19.48930232	2.9111
19.41630698	2.8584
19.34385639	2.7331
19.27194448	2.5847
19.20056526	2.4595
19.12971284	2.3696
19.05938141	2.2881
18.98956523	2.1831
18.92025868	2.1416
18.85145618	2.1345
18.78315226	2.1533
18.71534153	2.1621
18.64801865	2.1904
18.58117838	2.2659
18.51481556	2.3149
18.44892507	2.2978
18.38350191	2.3101
18.31854111	2.355
18.25407111	2.3447
18.19002023	2.3555
18.12641726	2.3999
18.06325753	2.4185
18.00053642	2.4495
17.93824937	2.5259
17.8763919	2.5747
17.81495958	2.5601
17.75394803	2.5383
17.69335296	2.5383
