Name:  Clinoptilolite (Na,K,Ca)2-3Al3(Al,Si)2Si13O36.12H2O 
Type:  Mineral
Class:   Silicates 
Subclass:   Tectosilicates (Framework silicates) (Zeolite Group)
Particle Size: Fine  (less than 2  Micrometers)
Sample No.:  clinopt.1
Owner:  JHU
Wavelength Range:  IR
Origin: Donated by W. J. Ehmann ;  Sample #7 from Castle Creek, 
Idaho. 
Description: The sample is a cream-colored earthy mass.  Because of 
the earthy nature of this mineral sample, there is little difference 
between the spectra of different particle size ranges. 
Petrographically it is clean and pure clinoptilolite.


Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: clinop1a.txt

25.044	60.301
24.924	59.367
24.805	58.976
24.686	58.611
24.569	58.129
24.454	57.980
24.339	57.590
24.225	56.525
24.112	55.846
24.001	55.394
23.890	54.908
23.781	54.209
23.672	53.838
23.564	53.363
23.458	52.949
23.352	51.762
23.247	50.697
23.144	49.829
23.041	48.934
22.939	47.746
22.838	46.407
22.738	45.113
22.638	43.536
22.540	42.145
22.442	40.805
22.345	39.750
22.250	38.889
22.154	38.324
22.060	37.996
21.967	38.153
21.874	38.388
21.782	38.605
21.691	38.842
21.601	39.058
21.511	39.412
21.422	39.515
21.334	39.903
21.247	40.412
21.160	41.394
21.074	42.653
20.988	44.114
20.904	45.601
20.820	47.200
20.737	48.883
20.654	50.547
20.572	52.154
20.491	53.700
20.410	55.318
20.330	56.686
20.251	58.034
20.172	59.316
20.094	60.514
20.016	61.616
19.939	62.704
19.863	63.686
19.787	64.528
19.712	65.266
19.637	65.762
19.563	66.064
19.489	66.288
19.416	66.450
19.344	66.522
19.272	66.618
19.201	66.668
19.130	66.698
19.059	66.808
18.990	66.904
18.920	67.362
18.851	67.668
18.783	68.256
18.715	68.820
18.648	69.435
18.581	69.915
18.515	70.471
18.449	70.784
18.384	70.967
18.319	71.184
18.254	71.327
18.190	71.439
18.126	71.432
18.063	71.462
18.001	71.421
17.938	71.432
17.876	71.394
17.815	71.287
17.754	71.198
17.693	71.086
17.633	70.965
17.573	70.719
17.514	70.612
17.455	70.555
17.396	70.313
17.338	70.136
17.280	70.082
17.223	69.907
17.166	69.704
17.109	69.471
17.053	69.118
16.997	68.735
16.942	68.171
16.886	67.716
16.832	67.032
16.777	66.295
16.723	65.492
16.669	64.535
16.616	63.639
16.563	62.858
16.510	62.236
16.458	61.760
16.406	61.750
16.354	62.091
16.302	62.590
16.251	63.306
16.200	64.231
16.150	65.111
16.100	66.050
16.050	66.957
16.000	67.721
