Name: Erionite (K2,Ca,Na2)2Al4Si14O36.15H2O
Type:  Mineral
Class:   Silicates
Subclass:   Tectosilicates  (Zeolite Group)
Particle Size: Coarse  (74-250 Micrometers)
Sample No.:  erionite.1
Owner:  JHU
Wavelength Range:  IR
Origin: Donated by W. J. Ehmann;  Sample #15 from Rome, Oregon.

Description: The hand sample was a cream-colored, earthy mass.  As 
a result, the "solid" sample had very weak reststrahlen bands.  
Petrographically the sample appeared to be pure.



Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: erioni1a.txt

25.04420302	5.1797
24.9237955	5.2512
24.80454022	5.5286
24.68642074	5.5198
24.5694209	5.6721
24.45358465	5.8213
24.3387763	5.7471
24.22504094	5.563
24.11236361	5.4827
24.00072962	5.4631
23.89012454	5.4316
23.78053421	5.3931
23.67194472	5.323
23.56434244	5.5058
23.45771395	5.7549
23.35204611	5.9841
23.24732598	5.9975
23.14354087	6.0185
23.04067832	6.1997
22.93872607	6.4184
22.83767211	6.561
22.7375046	6.5329
22.63821194	6.51
22.53978272	6.4419
22.44220571	6.1994
22.3454699	5.8652
22.24956446	5.5901
22.15447875	5.3804
22.06020229	5.2165
21.96677306	5.1265
21.87408402	5.1606
21.7821739	5.2014
21.69103293	5.2817
21.60065148	5.4629
21.5110201	5.7336
21.42212949	5.9941
21.33397051	6.2212
21.24653416	6.501
21.15981159	6.7439
21.0737941	6.9209
20.98847313	7.0491
20.90384024	6.9934
20.81988716	6.8909
20.73660571	6.7402
20.65398787	6.5544
20.57202575	6.2668
20.49071156	5.9526
20.41003766	5.6155
20.3299965	5.2734
20.25058069	4.9851
20.1717829	4.6462
20.09359597	4.2991
20.01601281	4.0803
19.93906621	3.8884
19.8626695	3.6511
19.78685599	3.4397
19.71161901	3.2541
19.63695203	3.0891
19.56284859	2.9458
19.48930232	2.8606
19.41630698	2.7815
19.34385639	2.6628
19.27194448	2.5603
19.20056526	2.5029
19.12971284	2.4502
19.05938141	2.4089
18.98956523	2.3445
18.92025868	2.3442
18.85145618	2.3259
18.78315226	2.2834
18.71534153	2.2815
18.64801865	2.2737
18.58117838	2.2629
