Name:  Heulandite (Na,Ca)2-3Al3(Al,Si)2Si13O36.12H2O
Type:  Mineral
Class:  Silicates
Subclass:  Tectosilicates (Zeolite Group)
Particle Size:  Solid (cleavage face)
Sample No.: heulan.2
Owner:  JHU
Wavelength Range:  IR
Origin:  Gobel, Oregon via Joe Taggart, USGS, Denver, Colorado.

Description: The sample is composed of 1 cm diameter, pearly, 
translucent crystals in a white, fine-grained groundmass. Crystals 
were separated by hand and appear to be pure heulandite.



Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  heulan2a.txt

25.04420302	20.9826
24.9237955	21.1484
24.80454022	21.311
24.68642074	21.4484
24.5694209	21.5429
24.45358465	21.5851
24.3387763	21.5747
24.22504094	21.518
24.11236361	21.4311
24.00072962	21.3356
23.89012454	21.256
23.78053421	21.2165
23.67194472	21.236
23.56434244	21.3276
23.45771395	21.4973
23.35204611	21.7475
23.24732598	22.0847
23.14354087	22.5214
23.04067832	23.0663
22.93872607	23.7202
22.83767211	24.4733
22.7375046	25.3068
22.63821194	26.1918
22.53978272	27.0966
22.44220571	28.0014
22.3454699	28.8998
22.24956446	29.7858
22.15447875	30.6518
22.06020229	31.4965
21.96677306	32.3251
21.87408402	33.1498
21.7821739	33.9923
21.69103293	34.8815
21.60065148	35.8371
21.5110201	36.8437
21.42212949	37.8495
21.33397051	38.776
21.24653416	39.5314
21.15981159	40.0297
21.0737941	40.2113
20.98847313	40.0543
20.90384024	39.57
20.81988716	38.7921
20.73660571	37.768
20.65398787	36.5485
20.57202575	35.1808
20.49071156	33.7043
20.41003766	32.1525
20.3299965	30.5553
20.25058069	28.9404
20.1717829	27.3334
20.09359597	25.7599
20.01601281	24.246
19.93906621	22.8178
19.8626695	21.5004
19.78685599	20.3166
19.71161901	19.2851
19.63695203	18.4177
19.56284859	17.7177
19.48930232	17.1804
19.41630698	16.7924
19.34385639	16.5322
19.27194448	16.3654
19.20056526	16.248
19.12971284	16.1257
19.05938141	15.9414
18.98956523	15.6435
18.92025868	15.1989
18.85145618	14.601
18.78315226	13.8733
18.71534153	13.0634
18.64801865	12.2326
18.58117838	11.4424
18.51481556	10.74
18.44892507	10.1528
18.38350191	9.688
18.31854111	9.3371
18.25407111	9.0827
18.19002023	8.9057
18.12641726	8.7883
18.06325753	8.7165
18.00053642	8.6802
17.93824937	8.6706
17.8763919	8.6819
17.81495958	8.7085
17.75394803	8.7468
17.69335296	8.7937
17.63317011	8.8471
17.57339529	8.9062
17.51402436	8.9695
