Name:  Heulandite (Na,Ca)2-3Al3(Al,Si)2Si13O36.12H2O
Type:  Mineral
Class:  Silicates
Subclass:  Tectosilicates (Zeolite Group)
Particle Size: Fine  (less than 2 micrometers)
Sample No.: heulan.2
Owner:  JHU
Wavelength Range:  IR
Origin:  Gobel, Oregon via Joe Taggart, USGS, Denver, Colorado.

Description: The sample is composed of 1 cm diameter, pearly, 
translucent crystals in a white, fine-grained groundmass. Crystals 
were separated by hand and appear to be pure heulandite.



Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  heulan2a.txt

25.04420302	37.7538
24.9237955	37.8163
24.80454022	37.9218
24.68642074	37.9374
24.5694209	37.5175
24.45358465	37.0624
24.3387763	36.9569
24.22504094	36.5077
24.11236361	35.83
24.00072962	35.705
23.89012454	35.8007
23.78053421	35.4257
23.67194472	34.7831
23.56434244	34.1366
23.45771395	33.6034
23.35204611	32.746
23.24732598	31.6347
23.14354087	30.5712
23.04067832	29.4999
22.93872607	28.1181
22.83767211	26.6845
22.7375046	25.2353
22.63821194	23.8671
22.53978272	22.7382
22.44220571	21.7978
22.3454699	21.1806
22.24956446	20.8408
22.15447875	20.7275
22.06020229	20.79
21.96677306	21.0595
21.87408402	21.3867
21.7821739	21.5703
21.69103293	21.7246
21.60065148	21.6289
21.5110201	21.8017
21.42212949	22.1455
21.33397051	22.6074
21.24653416	23.4892
21.15981159	24.6601
21.0737941	26.2402
20.98847313	28.08
20.90384024	30.0673
20.81988716	32.1601
20.73660571	34.1933
20.65398787	36.1288
20.57202575	38.0683
20.49071156	40.0097
20.41003766	41.6698
20.3299965	43.244
20.25058069	44.5702
20.1717829	45.7802
20.09359597	46.9569
20.01601281	47.8856
19.93906621	48.5301
19.8626695	49.1561
19.78685599	49.619
19.71161901	49.8026
19.63695203	49.8329
19.56284859	49.6385
19.48930232	49.4139
19.41630698	49.1156
19.34385639	48.8592
19.27194448	48.7191
19.20056526	48.5629
19.12971284	48.6454
19.05938141	49.0023
18.98956523	49.6249
18.92025868	50.578
18.85145618	51.743
18.78315226	52.7562
18.71534153	53.7269
18.64801865	54.6024
18.58117838	55.3143
18.51481556	55.8036
18.44892507	56.0545
18.38350191	56.1297
18.31854111	56.2992
18.25407111	56.264
18.19002023	56.1678
18.12641726	55.9422
18.06325753	55.6542
18.00053642	55.3758
17.93824937	55.139
17.8763919	54.8089
17.81495958	54.286
17.75394803	53.743
17.69335296	53.3143
17.63317011	52.9237
17.57339529	52.3856
17.51402436	51.8182
