Name: Nepheline (Na,K)AlSiO4
Type:  Mineral
Class:  Silicates
Subclass:  Tectosilicates (Framework Silicates); (Feldspathoid Group)
Particle Size:  Solid
Sample No.: nephel.2
Owner:  JHU
Wavelength Range:  IR
Origin: Brevig, Norway via Norma Vergo

Description: The hand sample was a massive chunk of unusually dark 
gray nepheline, weighing 15 g.  Under the microscope, the sample 
appeared to be almost entirely pure nepheline, although many grains 
showed fluid inclusions.  


Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  nephel2a.txt

25.04420302	14.8671
24.9237955	14.8711
24.80454022	14.9453
24.68642074	15.1269
24.5694209	15.2588
24.45358465	15.3501
24.3387763	15.4736
24.22504094	15.6211
24.11236361	15.7314
24.00072962	15.8442
23.89012454	15.6806
23.78053421	15.4712
23.67194472	15.3984
23.56434244	15.2939
23.45771395	15.1914
23.35204611	15.3808
23.24732598	15.7316
23.14354087	16.041
23.04067832	16.4316
22.93872607	16.882
22.83767211	17.1093
22.7375046	17.385
22.63821194	17.8896
22.53978272	18.3276
22.44220571	18.6867
22.3454699	19.2744
22.24956446	19.8798
22.15447875	20.3557
22.06020229	20.9008
21.96677306	21.3928
21.87408402	21.7109
21.7821739	22.1235
21.69103293	22.3644
21.60065148	22.5788
21.5110201	23.2424
21.42212949	24.2402
21.33397051	24.9777
21.24653416	25.3896
21.15981159	25.5519
21.0737941	25.4008
20.98847313	25.0217
20.90384024	24.5873
20.81988716	23.9096
20.73660571	22.9079
20.65398787	21.6926
20.57202575	20.2399
20.49071156	18.4333
20.41003766	16.2827
20.3299965	14.0146
20.25058069	11.9004
20.1717829	10.2197
20.09359597	9.0752
20.01601281	8.4175
19.93906621	8.1684
19.8626695	8.2461
19.78685599	8.5425
19.71161901	8.8774
19.63695203	9.1286
19.56284859	9.2627
19.48930232	9.3486
19.41630698	9.4275
19.34385639	9.4831
19.27194448	9.5334
19.20056526	9.539
19.12971284	9.4599
19.05938141	9.354
18.98956523	9.186
18.92025868	8.9167
18.85145618	8.5198
18.78315226	7.9885
18.71534153	7.365
18.64801865	6.7319
18.58117838	6.091
18.51481556	5.4643
18.44892507	4.874
18.38350191	4.3003
18.31854111	3.8525
18.25407111	3.5996
18.19002023	3.4465
18.12641726	3.3716
18.06325753	3.4009
18.00053642	3.4519
17.93824937	3.4809
17.8763919	3.5718
17.81495958	3.6758
17.75394803	3.7607
17.69335296	3.8552
17.63317011	3.9556
17.57339529	4.0398
17.51402436	4.1142
17.45505324	4.2078
17.39647791	4.2856
17.3382944	4.3557
17.28049878	4.4197
17.2230872	4.4304
17.16605584	4.4211
17.10940093	4.4817
17.05311876	4.5588
16.99720566	4.5991
16.94165801	4.6531
16.88647225	4.7505
16.83167317	4.8347
16.77720046	4.9184
16.72307919	5.0332
16.66930597	5.0879
16.61587747	5.1528
16.56279037	5.26
16.51004141	5.3181
16.45762737	5.3474
16.40554507	5.4184
16.35379138	5.4983
16.30236319	5.5202
16.25125744	5.5434
16.20047111	5.6077
16.15000121	5.645
16.0998448	5.6662
16.04999896	5.7283
16.00048641	5.7622
15.95125297	5.7632
15.90232158	5.7871
15.85368947	5.8169
15.80535391	5.8308
15.75731218	5.8769
15.70956162	5.9617
15.6620996	6.0329
15.61492349	6.1052
15.56803074	6.2275
15.52141878	6.3354
15.47508511	6.4397
15.42902725	6.5679
15.38324273	6.6782
15.33772913	6.7763
15.29248405	6.907
15.24750513	7.0303
15.20279002	7.1509
15.1583364	7.3069
15.114142	7.4853
15.07020455	7.6438
15.02652181	7.8313
14.98309158	8.0217
14.93991168	8.1428
14.89700213	8.2356
14.85431629	8.4109
14.81187438	8.6313
14.76967431	8.8862
14.72771402	9.2131
14.68599147	9.5759
14.64450465	9.9453
14.60325156	10.3095
14.56223023	10.5901
14.52143873	10.75
14.48087511	10.8347
14.44053748	10.8518
14.40042395	10.7348
14.36053266	10.5288
14.32086177	10.2922
14.28140946	10.0578
14.24217393	9.865
14.20315338	9.7209
14.16434607	9.5552
14.12575025	9.3503
14.0873642	9.1731
14.0491862	9.0742
14.01121458	8.9751
13.97344765	8.7983
13.93590321	8.5442
13.89854065	8.1955
13.8613779	7.7566
13.82441336	7.3076
13.78764544	6.8913
13.75107258	6.5329
13.71469324	6.2969
13.67850587	6.187
13.64250897	6.1291
13.60670103	6.0439
13.57108057	5.9568
13.53564612	5.8425
13.50039624	5.6594
13.46532947	5.4814
13.4304444	5.314
13.39573962	5.1235
13.36121373	4.9612
13.32686536	4.8352
13.29269314	4.7148
13.25869572	4.6304
13.22487175	4.6016
13.19121992	4.595
13.15773892	4.5867
13.12442745	4.5784
13.09130135	4.5552
13.05832501	4.519
13.02551438	4.4763
12.99286821	4.4348
12.96038529	4.3884
12.92806437	4.3606
12.89590426	4.3638
12.86390376	4.4177
12.83206168	4.5012
12.80037684	4.612
12.7688481	4.7322
12.73747429	4.8469
12.70625427	4.9805
12.67518693	5.1067
12.64427113	5.2102
12.61350579	5.3157
12.58290562	5.436
12.55243781	5.5369
12.52211719	5.6225
12.4919427	5.7258
12.46191328	5.823
12.43202789	5.8867
12.40228549	5.9599
12.37268507	6.0393
12.34322561	6.0896
12.31390609	6.1367
12.28472554	6.2241
12.25568296	6.2793
12.22677738	6.3122
12.19800782	6.3882
12.16937334	6.4643
12.14087298	6.5012
12.1125058	6.5559
12.08427087	6.6321
12.05616727	6.6855
12.02819409	6.7263
12.00035041	6.7888
11.97263534	6.8513
11.945048	6.904
11.9175875	6.9778
11.8902671	7.0373
11.86305761	7.0786
11.83597236	7.1333
11.80901051	7.1911
11.78217122	7.2536
11.75545365	7.3237
11.72885698	7.3989
11.70238038	7.4599
11.67602305	7.5232
11.64978419	7.5979
11.62366299	7.6782
11.59765866	7.7505
11.57177043	7.8176
11.54599752	7.895
11.52033916	7.9656
11.49479458	8.0696
11.46936304	8.1701
11.44404378	8.2456
11.41883606	8.3396
11.39373914	8.4577
11.3687523	8.552
11.34387482	8.6333
11.31910597	8.7532
11.29444505	8.8735
11.26990406	8.9614
11.24545684	9.0761
11.22111545	9.2156
11.19687921	9.3213
11.17274743	9.4399
11.14871946	9.593
11.12479461	9.729
11.10097222	9.8603
11.07725165	10.0256
11.05363222	10.1926
11.03011331	10.3476
11.00669427	10.5298
10.98337447	10.7204
10.96015327	10.8845
10.93703005	11.0547
10.9140042	11.2505
10.89107509	11.448
10.86824213	11.6469
10.8455047	11.8781
10.82286221	12.1113
10.80031407	12.333
10.77785969	12.5918
10.75549848	12.8625
10.73322986	13.1245
10.71106474	13.3974
10.68897956	13.6831
10.66698525	13.956
10.64508128	14.2404
10.62326708	14.5659
10.6015421	14.8942
10.5799058	15.238
10.55835763	15.624
10.53689705	16.0463
10.51552354	16.4953
10.49423657	17.0036
10.4730356	17.5769
10.45192012	18.1694
10.43088962	18.8342
10.40994358	19.5834
10.38908149	20.3654
10.36830285	21.217
10.34760717	22.1306
10.32699394	23.0065
10.30646267	23.8015
10.28601287	24.5993
10.26564407	25.4396
10.24535578	26.2543
10.22514752	27.0248
10.20502924	27.6779
10.1849796	28.103
10.16500858	28.3032
10.14511574	28.4208
10.12530059	28.5729
10.10556271	28.8652
10.08590162	29.3554
10.0663169	29.9186
10.04680808	30.434
10.02737473	30.9394
10.00801642	31.4194
9.98873271	31.7795
9.969523168	32.0561
9.950387369	32.321
9.931324888	32.5351
9.912335307	32.6777
9.893427994	32.8427
9.874582922	33.061
9.855809507	33.2685
9.83710734	33.4914
9.818476015	33.7211
9.799915133	33.8461
9.781424293	33.8691
9.7630031	33.8466
9.744651161	33.7213
9.726368087	33.4443
9.70815349	33.089
9.690006986	32.6647
9.671928196	32.1576
9.653916739	31.7646
9.635972241	31.7084
9.618094328	31.977
9.600282632	32.4342
9.582536785	32.9162
9.564856422	33.2016
9.547241181	33.2091
