Name: Sanidine (K,Na)Al3O8
Type:  Mineral
Class:  Silicates 
Subclass:  Tectosilicates (Feldspar Group)
Particle Size:  Fine (0-74 Micrometers)
Sample No.:  sanidine.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Volkesfeld bei Kempenick, Eifel, Rheinland, Germany via Dave 
Stewart, USGS
Description:  The hand sample was a large (56.16 g) fragment of what 
appeared to be a badly fractured single crystal. Small fragments 
were transparent but "smoky." The sample showed no significant 
contamination under the microscope.


Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  sanidi1a.txt

25.04420302	1.7812
24.9237955	2.0332
24.80454022	1.9575
24.68642074	1.9302
24.5694209	2.1006
24.45358465	2.1269
24.3387763	1.9111
24.22504094	1.8379
24.11236361	1.9072
24.00072962	1.7666
23.89012454	1.8066
23.78053421	1.8989
23.67194472	2.0937
23.56434244	2.0264
23.45771395	1.9551
23.35204611	2.0747
23.24732598	1.9758
23.14354087	2.0227
23.04067832	2.1174
22.93872607	2.1418
22.83767211	2.1897
22.7375046	2.1602
22.63821194	2.0862
22.53978272	2.1685
22.44220571	2.1174
22.3454699	1.9553
22.24956446	1.8938
22.15447875	1.8323
22.06020229	1.6897
21.96677306	1.6692
21.87408402	1.6177
21.7821739	1.4426
21.69103293	1.375
21.60065148	1.3665
21.5110201	1.3989
21.42212949	1.4114
21.33397051	1.427
21.24653416	1.5171
21.15981159	1.6057
21.0737941	1.5376
20.98847313	1.5266
20.90384024	1.5747
20.81988716	1.6428
20.73660571	1.8169
20.65398787	1.8457
20.57202575	1.844
20.49071156	1.8379
20.41003766	1.8613
20.3299965	2.0061
20.25058069	2.1682
20.1717829	2.2458
20.09359597	2.2949
20.01601281	2.3806
19.93906621	2.4473
19.8626695	2.4629
19.78685599	2.3813
19.71161901	2.3105
19.63695203	2.375
19.56284859	2.4512
19.48930232	2.4844
19.41630698	2.4863
19.34385639	2.5349
19.27194448	2.6079
19.20056526	2.6401
19.12971284	2.6162
19.05938141	2.5801
18.98956523	2.5688
18.92025868	2.5112
18.85145618	2.3747
18.78315226	2.2822
18.71534153	2.2368
18.64801865	2.1348
18.58117838	2.0134
18.51481556	1.9424
18.44892507	1.8774
18.38350191	1.8115
18.31854111	1.7559
18.25407111	1.7209
18.19002023	1.6819
18.12641726	1.697
18.06325753	1.7317
18.00053642	1.7485
17.93824937	1.74
17.8763919	1.7114
17.81495958	1.7705
17.75394803	1.8267
17.69335296	1.8037
17.63317011	1.7764
17.57339529	1.7869
17.51402436	1.8655
17.45505324	1.8899
17.39647791	1.8904
17.3382944	1.8921
17.28049878	1.9104
17.2230872	1.9255
17.16605584	1.9199
17.10940093	1.9563
17.05311876	1.9936
16.99720566	1.9614
16.94165801	1.9543
16.88647225	1.9658
16.83167317	2.001
16.77720046	2.0273
16.72307919	2.0156
16.66930597	2.0054
16.61587747	2.0171
16.56279037	2.0435
16.51004141	1.9868
16.45762737	1.9246
16.40554507	1.9189
16.35379138	1.8887
16.30236319	1.8076
16.25125744	1.7131
16.20047111	1.6577
16.15000121	1.6233
16.0998448	1.5835
16.04999896	1.5413
16.00048641	1.5002
15.95125297	1.4636
15.90232158	1.4155
15.85368947	1.3525
15.80535391	1.3
15.75731218	1.2876
15.70956162	1.2693
15.6620996	1.2368
15.61492349	1.248
15.56803074	1.2693
15.52141878	1.2732
15.47508511	1.2893
15.42902725	1.2788
15.38324273	1.271
15.33772913	1.334
15.29248405	1.3967
15.24750513	1.4492
15.20279002	1.5019
15.1583364	1.5544
15.114142	1.582
15.07020455	1.6306
15.02652181	1.7183
14.98309158	1.8091
14.93991168	1.8816
14.89700213	1.875
14.85431629	1.8865
14.81187438	1.9585
14.76967431	1.9927
14.72771402	1.9595
14.68599147	1.9766
14.64450465	1.9956
14.60325156	1.9504
14.56223023	1.8931
14.52143873	1.8828
14.48087511	1.8394
14.44053748	1.7686
14.40042395	1.7261
14.36053266	1.675
14.32086177	1.5918
14.28140946	1.498
14.24217393	1.4712
14.20315338	1.438
14.16434607	1.3865
14.12575025	1.3379
14.0873642	1.3044
14.0491862	1.2849
14.01121458	1.2715
13.97344765	1.2585
13.93590321	1.2324
13.89854065	1.2024
13.8613779	1.2012
13.82441336	1.1904
13.78764544	1.1702
13.75107258	1.1477
13.71469324	1.1482
13.67850587	1.1414
13.64250897	1.1614
13.60670103	1.1733
13.57108057	1.1726
13.53564612	1.1697
13.50039624	1.166
13.46532947	1.168
13.4304444	1.2026
13.39573962	1.2146
13.36121373	1.2158
13.32686536	1.2129
13.29269314	1.2146
13.25869572	1.2539
13.22487175	1.271
13.19121992	1.2593
13.15773892	1.2405
13.12442745	1.2573
13.09130135	1.2827
13.05832501	1.2712
13.02551438	1.238
12.99286821	1.2136
12.96038529	1.208
12.92806437	1.2153
12.89590426	1.2351
12.86390376	1.2295
12.83206168	1.1924
12.80037684	1.2214
12.7688481	1.2581
12.73747429	1.2397
12.70625427	1.2197
12.67518693	1.2383
12.64427113	1.2686
12.61350579	1.2891
12.58290562	1.3059
12.55243781	1.4004
12.52211719	1.5193
12.4919427	1.6521
12.46191328	1.8406
12.43202789	2.0786
12.40228549	2.3259
12.37268507	2.6067
12.34322561	2.917
12.31390609	3.1938
12.28472554	3.4619
12.25568296	3.7373
12.22677738	3.9902
12.19800782	4.2073
12.16937334	4.385
12.14087298	4.5154
12.1125058	4.6169
12.08427087	4.706
12.05616727	4.76
12.02819409	4.8098
12.00035041	4.8599
11.97263534	4.8611
11.945048	4.8362
11.9175875	4.8584
11.8902671	4.8586
11.86305761	4.845
11.83597236	4.8555
11.80901051	4.8657
11.78217122	4.8425
11.75545365	4.793
11.72885698	4.7878
11.70238038	4.7671
11.67602305	4.7151
11.64978419	4.6953
11.62366299	4.6667
11.59765866	4.6304
11.57177043	4.6077
11.54599752	4.5793
11.52033916	4.5449
11.49479458	4.5068
11.46936304	4.4678
11.44404378	4.425
11.41883606	4.3867
11.39373914	4.3603
11.3687523	4.3071
11.34387482	4.2507
11.31910597	4.2165
11.29444505	4.1899
11.26990406	4.1467
11.24545684	4.0925
11.22111545	4.0361
11.19687921	3.9778
11.17274743	3.9258
11.14871946	3.8669
11.12479461	3.8057
11.10097222	3.7461
11.07725165	3.6868
11.05363222	3.623
11.03011331	3.551
11.00669427	3.4841
10.98337447	3.4182
10.96015327	3.3337
10.93703005	3.2595
10.9140042	3.2207
10.89107509	3.1518
10.86824213	3.0564
10.8455047	2.9707
10.82286221	2.9089
10.80031407	2.8498
10.77785969	2.7888
10.75549848	2.7126
10.73322986	2.6279
10.71106474	2.5469
10.68897956	2.4873
10.66698525	2.4177
10.64508128	2.3332
10.62326708	2.2646
10.6015421	2.2107
10.5799058	2.1433
10.55835763	2.0867
10.53689705	2.0349
10.51552354	1.9763
10.49423657	1.9309
10.4730356	1.8784
10.45192012	1.8403
10.43088962	1.8008
10.40994358	1.7554
10.38908149	1.7327
10.36830285	1.7007
10.34760717	1.6716
10.32699394	1.6457
10.30646267	1.6294
10.28601287	1.6269
10.26564407	1.6267
10.24535578	1.6125
10.22514752	1.6018
10.20502924	1.5933
10.1849796	1.5918
10.16500858	1.5967
10.14511574	1.6038
10.12530059	1.604
10.10556271	1.6152
10.08590162	1.625
10.0663169	1.6255
10.04680808	1.6313
10.02737473	1.6421
10.00801642	1.6567
9.98873271	1.6697
9.969523168	1.6741
9.950387369	1.6787
9.931324888	1.6916
9.912335307	1.6934
9.893427994	1.7144
9.874582922	1.7288
9.855809507	1.7117
9.83710734	1.7153
9.818476015	1.7366
9.799915133	1.7393
9.781424293	1.7324
9.7630031	1.7495
9.744651161	1.769
9.726368087	1.7805
9.70815349	1.8003
9.690006986	1.8345
9.671928196	1.8425
9.653916739	1.8406
9.635972241	1.8608
9.618094328	1.887
9.600282632	1.8999
9.582536785	1.9145
9.564856422	1.9324
9.547241181	1.9446
9.529690704	1.9539
9.512204634	1.9685
9.494782617	1.9812
9.477424301	1.9836
9.460138288	1.9802
9.4429063	1.9736
9.425736975	1.9468
9.408629972	1.9202
9.391584952	1.8901
9.374601579	1.8518
9.35767952	1.8332
9.340818443	1.812
9.324018018	1.7812
9.307277919	1.7654
9.290597822	1.761
9.273977405	1.7424
9.257416348	1.7212
9.240914333	1.7087
9.224471046	1.7048
9.208086173	1.6965
9.191759404	1.6763
9.17549043	1.6584
9.159278945	1.6594
9.143124645	1.6514
9.127027227	1.636
9.110986392	1.6309
9.095001842	1.6304
9.079073281	1.6465
9.06320863	1.6523
9.04739114	1.6448
9.031628764	1.6438
9.015921215	1.6399
9.000268208	1.6294
8.984669459	1.6462
8.969124685	1.6487
8.953633608	1.6426
8.93819595	1.657
8.922811435	1.6714
8.907479789	1.6692
8.89220074	1.6702
8.876974017	1.7061
8.861799353	1.7356
8.846676481	1.7666
8.831605135	1.7998
8.816585054	1.8367
8.801615977	1.8794
8.786697643	1.9233
8.771829795	1.9746
8.757012178	2.0112
8.742244536	2.0444
8.727526619	2.0977
8.712858175	2.1523
8.69824652	2.1882
8.683676252	2.2241
8.669154714	2.2646
8.654681663	2.3039
8.640256858	2.3298
8.625880055	2.3689
8.611551018	2.406
8.597269507	2.4285
8.583035287	2.4658
8.568848124	2.5044
8.554707784	2.5459
8.540614036	2.5884
8.52656665	2.6157
8.512565398	2.6377
8.498610052	2.6731
8.484700388	2.7329
8.470836182	2.7937
8.45701721	2.8496
8.443243252	2.9058
8.429514089	2.9726
8.415829502	3.043
8.402189274	3.1174
8.388593191	3.1914
8.375041038	3.2507
8.361539594	3.3054
8.348074642	3.3577
8.334652987	3.3921
8.32127442	3.4001
8.307938734	3.3982
8.294645723	3.3782
8.281395183	3.344
8.268186911	3.2881
8.255020704	3.2197
8.241896361	3.146
8.228813685	3.0693
8.215772476	2.9824
8.202772537	2.8923
8.189813674	2.792
8.176895691	2.6914
8.164018395	2.5891
8.151188239	2.4729
8.138391724	2.3662
8.125635323	2.2612
8.11291885	2.1521
8.100242116	2.0403
8.087604937	1.9236
8.075007126	1.8113
8.062448501	1.7002
8.049928879	1.5884
8.037448078	1.4822
8.025005918	1.3628
8.012602221	1.2449
8.000236807	1.1416
7.9879095	1.0432
7.975620124	0.9497
7.963368505	0.8547
7.951154468	0.7683
7.938977841	0.6863
7.926838452	0.6221
7.914736131	0.5715
7.902670708	0.5237
7.890642014	0.4866
7.878649883	0.4626
7.866694148	0.4456
7.854780812	0.4375
7.842897355	0.4438
7.831049799	0.4573
7.819237984	0.4822
7.807461747	0.5178
7.795720929	0.5466
7.784015369	0.5759
7.772344909	0.6147
7.760709391	0.6714
7.749108659	0.7383
7.737542556	0.8027
7.726010929	0.8584
7.714513623	0.9192
7.703050485	0.9824
7.691621363	1.0552
7.680226106	1.1343
7.668864563	1.2063
7.657536586	1.2783
7.646242025	1.3606
7.634980733	1.4382
7.623752563	1.5151
7.61255737	1.5967
7.601395008	1.6738
7.590265333	1.7493
7.579173946	1.8342
7.568109199	1.9219
7.557076711	1.9951
7.546076342	2.0583
7.535107952	2.1326
7.524171401	2.2031
7.51326655	2.2637
7.502393263	2.3379
7.491551403	2.4133
7.480740833	2.4827
7.469961418	2.5576
7.459213023	2.6208
7.448495516	2.6789
7.437808762	2.7537
7.42715263	2.8196
7.416526989	2.8765
7.405931707	2.9351
