Name: Sanidine (K,Na)Al3O8
Type:  Mineral
Class:  Silicates 
Subclass:  Tectosilicates (Feldspar Group)
Particle Size:  Fine (Less than 2 Micrometers)
Sample No.:  sanidine.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Volkesfeld bei Kempenick, Eifel, Rheinland, Germany via Dave 
Stewart, USGS
Description:  The hand sample was a large (56.16 g) fragment of what 
appeared to be a badly fractured single crystal. Small fragments 
were transparent but "smoky." The sample showed no significant 
contamination under the microscope.


Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  sanidi1a.txt

25.04420302	58.7596
24.9237955	57.4061
24.80454022	56.5624
24.68642074	56.2342
24.5694209	55.8983
24.45358465	55.1346
24.3387763	54.7889
24.22504094	53.8397
24.11236361	53.4491
24.00072962	52.9393
23.89012454	52.1991
23.78053421	51.3446
23.67194472	50.869
23.56434244	49.9842
23.45771395	49.3563
23.35204611	49.0526
23.24732598	49.6678
23.14354087	49.746
23.04067832	50.3329
22.93872607	51.0438
22.83767211	51.994
22.7375046	53.0008
22.63821194	54.4413
22.53978272	55.7401
22.44220571	57.576
22.3454699	59.4979
22.24956446	61.6112
22.15447875	63.4491
22.06020229	65.4881
21.96677306	67.1834
21.87408402	68.3768
21.7821739	69.2342
21.69103293	70.3455
21.60065148	71.3377
21.5110201	72.3729
21.42212949	73.3484
21.33397051	74.3318
21.24653416	75.3035
21.15981159	76.4734
21.0737941	77.198
20.98847313	78.0271
20.90384024	78.7107
20.81988716	79.6365
20.73660571	80.0721
20.65398787	80.7386
20.57202575	81.1643
20.49071156	81.8787
20.41003766	82.1956
20.3299965	82.6136
20.25058069	82.7869
20.1717829	83.0623
20.09359597	83.2913
20.01601281	83.2342
19.93906621	83.1233
19.8626695	82.8318
19.78685599	82.5047
19.71161901	82.2366
19.63695203	81.9851
19.56284859	81.803
19.48930232	81.7771
19.41630698	81.5779
19.34385639	81.5838
19.27194448	81.385
19.20056526	81.137
19.12971284	80.6697
19.05938141	80.116
18.98956523	79.1766
18.92025868	78.2283
18.85145618	76.9437
18.78315226	75.6233
18.71534153	73.9378
18.64801865	72.326
18.58117838	70.3499
18.51481556	68.5291
18.44892507	66.5164
18.38350191	65.2459
18.31854111	64.6268
18.25407111	65.1253
18.19002023	66.0291
18.12641726	67.1995
18.06325753	67.8275
18.00053642	68.2689
17.93824937	68.1087
17.8763919	68.0374
17.81495958	67.4022
17.75394803	66.786
17.69335296	65.6366
17.63317011	64.6561
17.57339529	63.3988
17.51402436	62.3275
17.45505324	60.9588
17.39647791	59.9666
17.3382944	58.7533
17.28049878	58.036
17.2230872	57.3045
17.16605584	57.18
17.10940093	57.1219
17.05311876	57.5941
16.99720566	57.8827
16.94165801	58.7772
16.88647225	59.8236
16.83167317	61.1375
16.77720046	62.1322
16.72307919	63.3592
16.66930597	64.4134
16.61587747	65.5438
16.56279037	66.3509
16.51004141	67.2474
16.45762737	67.6917
16.40554507	68.3026
16.35379138	68.7728
16.30236319	69.5477
16.25125744	69.9832
16.20047111	70.6478
16.15000121	71.1805
16.0998448	71.8924
16.04999896	72.3201
16.00048641	72.702
15.95125297	72.702
15.90232158	72.3943
15.85368947	71.8135
15.80535391	71.1602
15.75731218	70.504
15.70956162	69.867
15.6620996	69.7401
15.61492349	70.2322
15.56803074	71.4571
15.52141878	73.1024
15.47508511	74.962
15.42902725	76.7288
15.38324273	78.325
15.33772913	79.7019
15.29248405	80.8633
15.24750513	81.7217
15.20279002	82.3841
15.1583364	82.8304
15.114142	83.3672
15.07020455	83.6057
15.02652181	83.9932
14.98309158	84.1006
14.93991168	84.4073
14.89700213	84.4561
14.85431629	84.6741
14.81187438	84.5623
14.76967431	84.7273
14.72771402	84.541
14.68599147	84.5657
14.64450465	84.2178
14.60325156	84.084
14.56223023	83.6211
14.52143873	83.2586
14.48087511	82.5701
14.44053748	81.9327
14.40042395	81.0413
14.36053266	80.3409
14.32086177	79.3152
14.28140946	78.4571
14.24217393	77.5594
14.20315338	76.9666
14.16434607	76.3506
14.12575025	75.9415
14.0873642	75.5223
14.0491862	75.2618
14.01121458	74.876
13.97344765	74.7615
13.93590321	74.6141
13.89854065	74.5108
13.8613779	74.3836
13.82441336	74.2891
13.78764544	74.3016
13.75107258	74.421
13.71469324	74.5838
13.67850587	74.6788
13.64250897	74.9861
13.60670103	75.2247
13.57108057	75.6067
13.53564612	75.8104
13.50039624	76.16
13.46532947	76.284
13.4304444	76.6102
13.39573962	76.6573
13.36121373	76.8533
13.32686536	76.8299
13.29269314	77.0076
13.25869572	76.9119
13.22487175	77.1895
13.19121992	77.1692
13.15773892	77.3389
13.12442745	77.1309
13.09130135	77.3038
13.05832501	77.0752
13.02551438	77.035
12.99286821	76.8204
12.96038529	77.1033
12.92806437	77.1153
12.89590426	77.3914
12.86390376	77.4444
12.83206168	77.7986
12.80037684	78.0213
12.7688481	78.3909
12.73747429	78.5403
12.70625427	79.0411
12.67518693	79.5247
12.64427113	80.3936
12.61350579	81.2654
12.58290562	82.2889
12.55243781	83.2403
12.52211719	84.4612
12.4919427	85.6468
12.46191328	86.8533
12.43202789	87.9522
12.40228549	88.8421
12.37268507	89.5081
12.34322561	89.8633
12.31390609	90.3018
12.28472554	90.4485
12.25568296	90.5547
12.22677738	90.3587
12.19800782	90.3601
12.16937334	90.0525
12.14087298	89.7918
12.1125058	89.199
12.08427087	88.8684
12.05616727	88.346
12.02819409	88.1065
12.00035041	87.6062
11.97263534	87.3572
11.945048	86.8406
11.9175875	86.6126
11.8902671	86.0926
11.86305761	85.8806
11.83597236	85.2996
11.80901051	84.9275
11.78217122	84.3621
11.75545365	84.1241
11.72885698	83.5645
11.70238038	83.3311
11.67602305	82.8164
11.64978419	82.4617
11.62366299	81.9151
11.59765866	81.595
11.57177043	81.1282
11.54599752	80.7532
11.52033916	80.2188
11.49479458	79.8274
11.46936304	79.4295
11.44404378	78.9935
11.41883606	78.5545
11.39373914	78.1397
11.3687523	77.7278
11.34387482	77.2754
11.31910597	76.9007
11.29444505	76.417
11.26990406	76.0147
11.24545684	75.4639
11.22111545	75.0355
11.19687921	74.4739
11.17274743	74.046
11.14871946	73.4649
11.12479461	73.0345
11.10097222	72.3714
11.07725165	71.889
11.05363222	71.213
11.03011331	70.699
11.00669427	69.9529
10.98337447	69.4593
10.96015327	68.7772
10.93703005	68.2342
10.9140042	67.5364
10.89107509	66.9859
10.86824213	66.2669
10.8455047	65.7523
10.82286221	65.0921
10.80031407	64.5042
10.77785969	63.7545
10.75549848	63.148
10.73322986	62.4305
10.71106474	61.7569
10.68897956	60.9149
10.66698525	60.2037
10.64508128	59.4647
10.62326708	58.5611
10.6015421	57.6197
10.5799058	56.794
10.55835763	55.992
10.53689705	55.0536
10.51552354	54.1815
10.49423657	53.2447
10.4730356	52.2914
10.45192012	51.3124
10.43088962	50.4364
10.40994358	49.5179
10.38908149	48.6551
10.36830285	47.6786
10.34760717	46.7772
10.32699394	45.8231
10.30646267	44.9808
10.28601287	44.08
10.26564407	43.3261
10.24535578	42.495
10.22514752	41.7367
10.20502924	40.9608
10.1849796	40.2821
10.16500858	39.5248
10.14511574	38.8832
10.12530059	38.2182
10.10556271	37.5946
10.08590162	36.9701
10.0663169	36.4198
10.04680808	35.8603
10.02737473	35.3568
10.00801642	34.8695
9.98873271	34.4301
9.969523168	33.9999
9.950387369	33.6191
9.931324888	33.3207
9.912335307	33.0453
9.893427994	32.8359
9.874582922	32.6684
9.855809507	32.516
9.83710734	32.37
9.818476015	32.2675
9.799915133	32.1669
9.781424293	32.1049
9.7630031	32.038
9.744651161	31.974
9.726368087	31.8901
9.70815349	31.8583
9.690006986	31.8446
9.671928196	31.8695
9.653916739	31.8603
9.635972241	31.9384
9.618094328	32.0287
9.600282632	32.2006
9.582536785	32.4086
9.564856422	32.6669
9.547241181	32.9399
9.529690704	33.2602
9.512204634	33.6557
9.494782617	34.1357
9.477424301	34.7172
9.460138288	35.3568
9.4429063	36.0998
9.425736975	36.9032
9.408629972	37.7655
9.391584952	38.6022
9.374601579	39.4628
9.35767952	40.2736
9.340818443	41.0551
9.324018018	41.6935
9.307277919	42.3034
9.290597822	42.8231
9.273977405	43.2536
9.257416348	43.5658
9.240914333	43.8817
9.224471046	44.0319
9.208086173	44.1483
9.191759404	44.1732
9.17549043	44.2177
9.159278945	44.1337
9.143124645	44.0541
9.127027227	43.914
9.110986392	43.7997
9.095001842	43.6425
9.079073281	43.4694
9.06320863	43.2514
9.04739114	43.0692
9.031628764	42.8729
9.015921215	42.6713
9.000268208	42.4774
8.984669459	42.2973
8.969124685	42.1976
8.953633608	42.1073
8.93819595	42.0741
8.922811435	41.9999
8.907479789	41.9701
8.89220074	41.923
8.876974017	41.9318
8.861799353	41.9154
8.846676481	41.9535
8.831605135	42.0473
8.816585054	42.2328
8.801615977	42.3817
8.786697643	42.6259
8.771829795	42.9042
8.757012178	43.2763
8.742244536	43.6498
8.727526619	44.1781
8.712858175	44.6903
8.69824652	45.3026
8.683676252	45.9511
8.669154714	46.7177
8.654681663	47.4647
8.640256858	48.3104
8.625880055	49.1727
8.611551018	50.0487
8.597269507	50.8402
8.583035287	51.6537
8.568848124	52.4589
8.554707784	53.233
8.540614036	54.0023
8.52656665	54.7308
8.512565398	55.4637
8.498610052	56.1576
8.484700388	56.8592
8.470836182	57.4979
8.45701721	58.1634
8.443243252	58.7806
8.429514089	59.3954
8.415829502	59.931
8.402189274	60.5511
8.388593191	61.1305
8.375041038	61.7523
8.361539594	62.2747
8.348074642	62.8443
8.334652987	63.3421
8.32127442	63.9139
8.307938734	64.3768
8.294645723	64.866
8.281395183	65.2479
8.268186911	65.6969
8.255020704	66.0599
8.241896361	66.4727
8.228813685	66.8197
8.215772476	67.1981
8.202772537	67.4896
8.189813674	67.8221
8.176895691	68.1185
8.164018395	68.4085
8.151188239	68.6951
8.138391724	68.9591
8.125635323	69.2039
8.11291885	69.4559
8.100242116	69.7322
8.087604937	69.9644
8.075007126	70.2254
8.062448501	70.4427
8.049928879	70.702
8.037448078	70.9193
8.025005918	71.1624
8.012602221	71.3707
8.000236807	71.6331
7.9879095	71.8338
7.975620124	72.1111
7.963368505	72.3748
7.951154468	72.7225
7.938977841	72.9283
7.926838452	73.1661
7.914736131	73.2764
7.902670708	73.4564
7.890642014	73.5076
7.878649883	73.7037
7.866694148	73.8221
7.854780812	74.0047
7.842897355	74.1238
7.831049799	74.3257
7.819237984	74.4776
7.807461747	74.6773
7.795720929	74.8257
7.784015369	74.9605
7.772344909	75.1202
7.760709391	75.2798
7.749108659	75.4285
7.737542556	75.5364
7.726010929	75.6683
7.714513623	75.7967
7.703050485	75.9302
7.691621363	76.055
7.680226106	76.219
7.668864563	76.325
7.657536586	76.4681
7.646242025	76.576
7.634980733	76.7503
7.623752563	76.8509
7.61255737	77.0003
7.601395008	77.0804
7.590265333	77.2532
7.579173946	77.3177
7.568109199	77.5013
7.557076711	77.5457
7.546076342	77.6888
7.535107952	77.7525
7.524171401	77.9373
7.51326655	78.0162
7.502393263	78.137
7.491551403	78.1976
7.480740833	78.3255
7.469961418	78.406
7.459213023	78.5144
7.448495516	78.5935
7.437808762	78.6712
7.42715263	78.7439
7.416526989	78.8392
7.405931707	78.9419
7.395366655	79.0423
7.384831703	79.1219
