Name: Sodalite Na8Al6Si6O24Cl2
Type:  Mineral
Class:  Silicates 
Subclass:   Tectosilicates (Framework silicates); Feldspathoid Group
Particle Size:  Solid (fracture surface)
Sample No.:  sodalite.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Bancroft, Ontario, Canada via Norma Vergo.

Description:  The hand sample was a large chunk of vivid blue 
sodalite that appeared quite pure. Microscopic examination showed 
about 2% contamination with either a colorless mineral with 1 degree
yellow birefringence, or another colorless mineral with slight 
brownish staining, 2 degrees birefringence, and 2 directions of cleavage. One 
observed contaminant was a carbonate.
Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  sodali1a.txt

25.04420302	6.1211
24.9237955	6.3193
24.80454022	6.4394
24.68642074	6.668
24.5694209	6.8867
24.45358465	6.9092
24.3387763	6.791
24.22504094	6.9111
24.11236361	7.1982
24.00072962	7.5298
23.89012454	7.8945
23.78053421	8.3457
23.67194472	8.9458
23.56434244	9.6494
23.45771395	10.5927
23.35204611	11.8818
23.24732598	13.7688
23.14354087	16.3046
23.04067832	18.7099
22.93872607	20.048
22.83767211	20.3234
22.7375046	19.9697
22.63821194	19.1098
22.53978272	17.6945
22.44220571	15.4814
22.3454699	12.1528
22.24956446	8.395
22.15447875	5.6328
22.06020229	4.7988
21.96677306	5.3838
21.87408402	6.55
21.7821739	8.1907
21.69103293	10.3442
21.60065148	12.872
21.5110201	15.2119
21.42212949	16.9631
21.33397051	18.1181
21.24653416	18.8806
21.15981159	19.4252
21.0737941	19.895
20.98847313	20.3247
20.90384024	20.7319
20.81988716	21.1354
20.73660571	21.4863
20.65398787	21.6144
20.57202575	21.3764
20.49071156	20.4606
20.41003766	18.736
20.3299965	16.5283
20.25058069	14.0561
20.1717829	11.3359
20.09359597	8.4453
20.01601281	5.6733
19.93906621	3.2759
19.8626695	1.5337
19.78685599	0.5859
19.71161901	0.272
19.63695203	0.2656
19.56284859	0.3848
19.48930232	0.5269
19.41630698	0.6645
19.34385639	0.7983
19.27194448	0.8921
19.20056526	1.0049
19.12971284	1.1133
19.05938141	1.2056
18.98956523	1.3237
18.92025868	1.4175
18.85145618	1.4543
18.78315226	1.5232
18.71534153	1.6069
18.64801865	1.6621
18.58117838	1.6995
18.51481556	1.7722
18.44892507	1.8301
18.38350191	1.9067
18.31854111	1.9678
18.25407111	2.0044
18.19002023	2.0591
18.12641726	2.1352
18.06325753	2.1763
18.00053642	2.1797
17.93824937	2.2136
17.8763919	2.2612
17.81495958	2.3008
17.75394803	2.3418
17.69335296	2.3921
17.63317011	2.4431
17.57339529	2.4873
17.51402436	2.5134
17.45505324	2.5618
17.39647791	2.6121
17.3382944	2.6289
17.28049878	2.6702
17.2230872	2.7178
17.16605584	2.7185
17.10940093	2.7493
17.05311876	2.791
16.99720566	2.8101
16.94165801	2.8345
16.88647225	2.8867
16.83167317	2.9346
16.77720046	2.9651
16.72307919	2.9751
16.66930597	2.9966
16.61587747	3.0474
16.56279037	3.0984
16.51004141	3.1265
16.45762737	3.1479
16.40554507	3.1728
16.35379138	3.2085
16.30236319	3.2568
16.25125744	3.2861
16.20047111	3.3215
16.15000121	3.3613
16.0998448	3.3867
16.04999896	3.4101
16.00048641	3.4604
15.95125297	3.5107
15.90232158	3.5478
15.85368947	3.6033
15.80535391	3.6628
15.75731218	3.7051
15.70956162	3.7678
15.6620996	3.8279
15.61492349	3.8628
15.56803074	3.9184
15.52141878	4.0041
15.47508511	4.0776
15.42902725	4.1499
15.38324273	4.2783
15.33772913	4.4062
15.29248405	4.5537
15.24750513	4.7429
15.20279002	4.9758
15.1583364	5.281
15.114142	5.6948
15.07020455	6.2722
15.02652181	6.9917
14.98309158	7.5698
14.93991168	7.4321
14.89700213	6.2121
14.85431629	4.3772
14.81187438	2.9158
14.76967431	2.2881
14.72771402	2.2427
14.68599147	2.396
14.64450465	2.5915
14.60325156	2.7827
14.56223023	2.948
14.52143873	3.1096
14.48087511	3.261
14.44053748	3.4075
14.40042395	3.5561
14.36053266	3.7053
14.32086177	3.8625
14.28140946	4.0215
14.24217393	4.185
14.20315338	4.3725
14.16434607	4.5972
14.12575025	4.8547
14.0873642	5.0903
14.0491862	5.2192
14.01121458	5.0364
13.97344765	4.4651
13.93590321	3.896
13.89854065	3.6929
13.8613779	3.7949
13.82441336	4.0632
13.78764544	4.4639
13.75107258	4.9834
13.71469324	5.6387
13.67850587	6.5354
13.64250897	7.751
13.60670103	9.1001
13.57108057	10.0862
13.53564612	10.3047
13.50039624	9.5659
13.46532947	7.7803
13.4304444	5.3523
13.39573962	3.0952
13.36121373	1.6431
13.32686536	1.0823
13.29269314	1.0442
13.25869572	1.1787
13.22487175	1.3379
13.19121992	1.5078
13.15773892	1.6577
13.12442745	1.7769
13.09130135	1.8809
13.05832501	1.9883
13.02551438	2.0842
12.99286821	2.1838
12.96038529	2.2654
12.92806437	2.3198
12.89590426	2.3765
12.86390376	2.4438
12.83206168	2.5134
12.80037684	2.5657
12.7688481	2.6084
12.73747429	2.6465
12.70625427	2.6843
12.67518693	2.7241
12.64427113	2.7637
12.61350579	2.7971
12.58290562	2.842
12.55243781	2.8921
12.52211719	2.9282
12.4919427	2.9524
12.46191328	2.9873
12.43202789	3.0315
12.40228549	3.0554
12.37268507	3.0915
12.34322561	3.1384
12.31390609	3.1531
12.28472554	3.1816
12.25568296	3.2334
12.22677738	3.2715
12.19800782	3.2983
12.16937334	3.332
12.14087298	3.3699
12.1125058	3.4048
12.08427087	3.4414
12.05616727	3.4766
12.02819409	3.4917
12.00035041	3.5249
11.97263534	3.5749
11.945048	3.6084
11.9175875	3.6328
11.8902671	3.6765
11.86305761	3.72
11.83597236	3.7422
11.80901051	3.7703
11.78217122	3.8118
11.75545365	3.8528
11.72885698	3.8801
11.70238038	3.9099
11.67602305	3.9438
11.64978419	3.9761
11.62366299	4.0161
11.59765866	4.0517
11.57177043	4.0874
11.54599752	4.1318
11.52033916	4.1741
11.49479458	4.2163
11.46936304	4.2715
11.44404378	4.3149
11.41883606	4.343
11.39373914	4.3865
11.3687523	4.4538
11.34387482	4.5056
11.31910597	4.5366
11.29444505	4.5942
11.26990406	4.6641
11.24545684	4.6997
11.22111545	4.7419
11.19687921	4.8108
11.17274743	4.8735
11.14871946	4.9333
11.12479461	4.9993
11.10097222	5.0718
11.07725165	5.133
11.05363222	5.1968
11.03011331	5.2671
11.00669427	5.3364
10.98337447	5.4233
10.96015327	5.5212
10.93703005	5.6033
10.9140042	5.6931
10.89107509	5.8074
10.86824213	5.9187
10.8455047	6.0232
10.82286221	6.1467
10.80031407	6.2798
10.77785969	6.4087
10.75549848	6.5483
10.73322986	6.7153
10.71106474	6.8791
10.68897956	7.0461
10.66698525	7.2478
10.64508128	7.4631
10.62326708	7.6843
10.6015421	7.9365
10.5799058	8.1997
10.55835763	8.4626
10.53689705	8.7776
10.51552354	9.1836
10.49423657	9.6374
10.4730356	10.1343
10.45192012	10.7148
10.43088962	11.3938
10.40994358	12.2087
10.38908149	13.1831
10.36830285	14.1672
10.34760717	14.8254
10.32699394	15.2194
10.30646267	16.1298
10.28601287	17.9016
10.26564407	19.7687
10.24535578	21.0058
10.22514752	21.5908
10.20502924	21.7905
10.1849796	21.801
10.16500858	21.7014
10.14511574	21.6445
10.12530059	21.8967
10.10556271	22.3642
10.08590162	22.7314
10.0663169	22.9572
10.04680808	23.0827
10.02737473	23.1245
10.00801642	23.1296
9.98873271	23.1537
9.969523168	23.1564
9.950387369	23.1164
9.931324888	23.1118
9.912335307	23.1103
9.893427994	23.0844
9.874582922	23.0869
9.855809507	23.1257
9.83710734	23.1306
9.818476015	23.1232
9.799915133	23.1603
9.781424293	23.194
9.7630031	23.206
9.744651161	23.2543
9.726368087	23.3286
9.70815349	23.3552
9.690006986	23.3666
