Name:  Basalt
Type:  Rock
Class: Igneous   
Subclass: Mafic  
Particle Size:  Whole rock chips
Sample No.:  ba9a1f
Owner:  Larry Rowan, USGS
Wavelength range:  VNIR SWIR IR
Origin:  Wadi Salima, Jordan

Description:  dark gray vesicular basalt 





Measurement:  Reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  0.4
Last X Value:  14.01309
Number of X Values:  2826
Additional Information:  ba9a1fa.txt

0.4	0.084
0.401	0.084
0.402	0.083
0.403	0.084
0.404	0.084
0.405	0.084
0.406	0.084
0.407	0.082
0.408	0.084
0.409	0.084
0.41	0.082
0.411	0.081
0.412	0.082
0.413	0.081
0.414	0.082
0.415	0.083
0.416	0.084
0.417	0.082
0.418	0.084
0.419	0.082
0.42	0.079
0.421	0.078
0.422	0.078
0.423	0.081
0.424	0.078
0.425	0.079
0.426	0.078
0.427	0.078
0.428	0.078
0.429	0.077
0.43	0.078
0.431	0.078
0.432	0.077
0.433	0.077
0.434	0.077
0.435	0.076
0.436	0.076
0.437	0.076
0.438	0.076
0.439	0.075
0.44	0.075
0.441	0.075
0.442	0.072
0.443	0.072
0.444	0.072
0.445	0.073
0.446	0.073
0.447	0.072
0.448	0.072
0.449	0.071
0.45	0.07
0.451	0.068
0.452	0.071
0.453	0.071
0.454	0.07
0.455	0.067
0.456	0.068
0.457	0.068
0.458	0.071
0.459	0.071
0.46	0.067
0.461	0.066
0.462	0.067
0.463	0.067
0.464	0.07
0.465	0.067
0.466	0.067
0.467	0.066
0.468	0.066
0.469	0.065
0.47	0.065
0.471	0.065
0.472	0.066
0.473	0.065
0.474	0.065
0.475	0.065
0.476	0.065
0.477	0.064
0.478	0.064
0.479	0.064
0.48	0.064
0.481	0.064
0.482	0.064
0.483	0.064
0.484	0.064
0.485	0.064
0.486	0.064
0.487	0.064
0.488	0.062
0.489	0.062
0.49	0.06
0.491	0.061
0.492	0.062
0.493	0.062
0.494	0.064
0.495	0.062
0.496	0.064
0.497	0.064
0.498	0.062
0.499	0.061
0.5	0.061
0.501	0.061
0.502	0.061
0.503	0.06
0.504	0.061
0.505	0.061
0.506	0.061
0.507	0.06
0.508	0.061
0.509	0.062
0.51	0.062
0.511	0.062
0.512	0.062
0.513	0.062
0.514	0.061
0.515	0.062
0.516	0.061
0.517	0.061
0.518	0.062
0.519	0.061
0.52	0.061
0.521	0.061
0.522	0.062
0.523	0.061
0.524	0.061
0.525	0.058
0.526	0.061
0.527	0.062
0.528	0.061
0.529	0.06
0.53	0.062
0.531	0.062
0.532	0.062
0.533	0.062
0.534	0.062
0.535	0.062
0.536	0.06
0.537	0.061
0.538	0.061
0.539	0.062
0.54	0.062
0.541	0.061
0.542	0.061
0.543	0.061
0.544	0.06
0.545	0.061
0.546	0.061
0.547	0.06
0.548	0.061
0.549	0.06
0.55	0.062
0.551	0.061
0.552	0.062
0.553	0.064
0.554	0.064
0.555	0.064
0.556	0.066
0.557	0.065
0.558	0.065
0.559	0.059
0.56	0.059
0.561	0.059
0.562	0.06
0.563	0.059
0.564	0.059
0.565	0.059
0.566	0.06
0.567	0.06
0.568	0.06
0.569	0.059
0.57	0.059
0.571	0.061
0.572	0.06
0.573	0.06
0.574	0.059
0.575	0.058
0.576	0.056
0.577	0.058
0.578	0.058
0.579	0.059
0.58	0.059
0.581	0.06
0.582	0.06
0.583	0.06
0.584	0.06
0.585	0.06
0.586	0.06
0.587	0.06
0.588	0.06
0.589	0.06
0.59	0.061
0.591	0.061
0.592	0.061
0.593	0.059
0.594	0.061
0.595	0.061
0.596	0.061
0.597	0.061
0.598	0.059
0.599	0.059
0.6	0.059
0.601	0.059
0.602	0.06
0.603	0.059
0.604	0.059
0.605	0.06
0.606	0.06
0.607	0.06
0.608	0.061
0.609	0.06
0.61	0.06
0.611	0.06
0.612	0.061
0.613	0.06
0.614	0.06
0.615	0.059
0.616	0.06
0.617	0.059
0.618	0.06
0.619	0.06
0.62	0.06
0.621	0.06
0.622	0.06
0.623	0.06
0.624	0.06
0.625	0.06
0.626	0.06
0.627	0.06
0.628	0.06
0.629	0.06
0.63	0.061
0.631	0.062
0.632	0.06
0.633	0.06
0.634	0.06
0.635	0.06
0.636	0.059
0.637	0.061
0.638	0.061
0.639	0.062
0.64	0.061
0.641	0.064
0.642	0.061
0.643	0.06
0.644	0.061
0.645	0.062
0.646	0.062
0.647	0.061
0.648	0.061
0.649	0.061
0.65	0.062
0.651	0.062
0.652	0.062
0.653	0.062
0.654	0.061
0.655	0.062
0.656	0.062
0.657	0.061
0.658	0.061
0.659	0.06
0.66	0.061
0.661	0.062
0.662	0.062
0.663	0.061
0.664	0.061
0.665	0.061
0.666	0.061
0.667	0.062
0.668	0.064
0.669	0.064
0.67	0.064
0.671	0.062
0.672	0.064
0.673	0.064
0.674	0.064
0.675	0.064
0.676	0.062
0.677	0.064
0.678	0.062
0.679	0.064
0.68	0.064
0.681	0.064
0.682	0.062
0.683	0.064
0.684	0.064
0.685	0.062
0.686	0.064
0.687	0.062
0.688	0.065
0.689	0.065
0.69	0.064
0.691	0.064
0.692	0.065
0.693	0.064
0.694	0.064
0.695	0.065
0.696	0.062
0.697	0.062
0.698	0.061
0.699	0.064
0.7	0.064
0.701	0.065
0.702	0.064
0.703	0.064
0.704	0.064
0.705	0.064
0.706	0.064
0.707	0.064
0.708	0.064
0.709	0.064
0.71	0.065
0.711	0.062
0.712	0.064
0.713	0.064
0.714	0.065
0.715	0.064
0.716	0.065
0.717	0.065
0.718	0.065
0.719	0.066
0.72	0.064
0.721	0.064
0.722	0.061
0.723	0.065
0.724	0.065
0.725	0.065
0.726	0.064
0.727	0.065
0.728	0.065
0.729	0.065
0.73	0.062
0.731	0.066
0.732	0.065
0.733	0.065
0.734	0.066
0.735	0.065
0.736	0.066
0.737	0.065
0.738	0.065
0.739	0.065
0.74	0.064
0.741	0.065
0.742	0.065
0.743	0.065
0.744	0.065
0.745	0.066
0.746	0.066
0.747	0.066
0.748	0.066
0.749	0.066
0.75	0.066
0.751	0.066
0.752	0.066
0.753	0.066
0.754	0.066
0.755	0.065
0.756	0.065
0.757	0.066
0.758	0.065
0.759	0.066
0.76	0.067
0.761	0.067
0.762	0.067
0.763	0.066
0.764	0.066
0.765	0.066
0.766	0.065
0.767	0.065
0.768	0.066
0.769	0.066
0.77	0.067
0.771	0.068
0.772	0.066
0.773	0.066
0.774	0.065
0.775	0.067
0.776	0.067
0.777	0.066
0.778	0.066
0.779	0.065
0.78	0.065
0.781	0.068
0.782	0.066
0.783	0.066
0.784	0.065
0.785	0.066
0.786	0.065
0.787	0.065
0.788	0.068
0.789	0.066
0.79	0.066
0.791	0.066
0.792	0.066
0.793	0.067
0.794	0.068
0.795	0.068
0.796	0.067
0.797	0.068
0.798	0.062
0.799	0.057
0.8	0.067
0.804	0.067
0.808	0.068
