Name:  Basalt
Type:  Rock
Class: Igneous   
Subclass: Mafic 
Particle Size:  Whole rock chips
Sample No.:  ba9c2f
Owner:  Larry Rowan, USGS
Wavelength range:  VNIR SWIR IR
Origin:  Wadi Salima, Jordan

Description:  dark gray vesicular basalt 





Measurement:  Reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  0.4
Last X Value:  14.01309
Number of X Values:  2826
Additional Information:  ba9c2fa.txt

0.4	0.122
0.401	0.12
0.402	0.122
0.403	0.123
0.404	0.12
0.405	0.12
0.406	0.12
0.407	0.122
0.408	0.122
0.409	0.12
0.41	0.12
0.411	0.122
0.412	0.12
0.413	0.12
0.414	0.12
0.415	0.12
0.416	0.122
0.417	0.119
0.418	0.119
0.419	0.119
0.42	0.116
0.421	0.116
0.422	0.118
0.423	0.118
0.424	0.118
0.425	0.118
0.426	0.116
0.427	0.116
0.428	0.118
0.429	0.116
0.43	0.115
0.431	0.116
0.432	0.115
0.433	0.112
0.434	0.113
0.435	0.113
0.436	0.113
0.437	0.113
0.438	0.113
0.439	0.112
0.44	0.112
0.441	0.112
0.442	0.112
0.443	0.112
0.444	0.112
0.445	0.111
0.446	0.111
0.447	0.111
0.448	0.111
0.449	0.109
0.45	0.107
0.451	0.109
0.452	0.108
0.453	0.107
0.454	0.108
0.455	0.105
0.456	0.104
0.457	0.104
0.458	0.107
0.459	0.105
0.46	0.102
0.461	0.102
0.462	0.102
0.463	0.102
0.464	0.102
0.465	0.102
0.466	0.101
0.467	0.101
0.468	0.101
0.469	0.102
0.47	0.101
0.471	0.1
0.472	0.101
0.473	0.1
0.474	0.101
0.475	0.101
0.476	0.101
0.477	0.101
0.478	0.101
0.479	0.098
0.48	0.098
0.481	0.101
0.482	0.101
0.483	0.101
0.484	0.1
0.485	0.097
0.486	0.098
0.487	0.098
0.488	0.1
0.489	0.097
0.49	0.097
0.491	0.098
0.492	0.098
0.493	0.098
0.494	0.098
0.495	0.098
0.496	0.097
0.497	0.097
0.498	0.097
0.499	0.097
0.5	0.096
0.501	0.096
0.502	0.094
0.503	0.097
0.504	0.098
0.505	0.096
0.506	0.098
0.507	0.096
0.508	0.094
0.509	0.096
0.51	0.096
0.511	0.097
0.512	0.098
0.513	0.098
0.514	0.094
0.515	0.094
0.516	0.094
0.517	0.094
0.518	0.096
0.519	0.096
0.52	0.093
0.521	0.096
0.522	0.094
0.523	0.096
0.524	0.094
0.525	0.094
0.526	0.097
0.527	0.096
0.528	0.097
0.529	0.094
0.53	0.094
0.531	0.097
0.532	0.097
0.533	0.097
0.534	0.097
0.535	0.094
0.536	0.096
0.537	0.093
0.538	0.093
0.539	0.097
0.54	0.094
0.541	0.096
0.542	0.097
0.543	0.094
0.544	0.094
0.545	0.094
0.546	0.096
0.547	0.094
0.548	0.094
0.549	0.096
0.55	0.096
0.551	0.094
0.552	0.096
0.553	0.094
0.554	0.096
0.555	0.098
0.556	0.1
0.557	0.098
0.558	0.1
0.559	0.097
0.56	0.097
0.561	0.096
0.562	0.094
0.563	0.094
0.564	0.094
0.565	0.096
0.566	0.094
0.567	0.094
0.568	0.096
0.569	0.096
0.57	0.098
0.571	0.098
0.572	0.098
0.573	0.096
0.574	0.096
0.575	0.096
0.576	0.097
0.577	0.096
0.578	0.096
0.579	0.096
0.58	0.096
0.581	0.096
0.582	0.094
0.583	0.096
0.584	0.096
0.585	0.096
0.586	0.096
0.587	0.096
0.588	0.097
0.589	0.097
0.59	0.096
0.591	0.096
0.592	0.097
0.593	0.097
0.594	0.097
0.595	0.096
0.596	0.096
0.597	0.096
0.598	0.097
0.599	0.096
0.6	0.096
0.601	0.094
0.602	0.096
0.603	0.096
0.604	0.097
0.605	0.097
0.606	0.097
0.607	0.096
0.608	0.097
0.609	0.097
0.61	0.096
0.611	0.097
0.612	0.097
0.613	0.098
0.614	0.098
0.615	0.097
0.616	0.097
0.617	0.097
0.618	0.094
0.619	0.094
0.62	0.096
0.621	0.096
0.622	0.096
0.623	0.097
0.624	0.097
0.625	0.096
0.626	0.096
0.627	0.097
0.628	0.098
0.629	0.097
0.63	0.097
0.631	0.096
0.632	0.097
0.633	0.097
0.634	0.098
0.635	0.097
0.636	0.098
0.637	0.097
0.638	0.1
0.639	0.098
0.64	0.098
0.641	0.098
0.642	0.097
0.643	0.096
0.644	0.097
0.645	0.097
0.646	0.097
0.647	0.096
0.648	0.096
0.649	0.097
0.65	0.098
0.651	0.098
0.652	0.098
0.653	0.098
0.654	0.097
0.655	0.097
0.656	0.098
0.657	0.098
0.658	0.098
0.659	0.097
0.66	0.098
0.661	0.097
0.662	0.097
0.663	0.098
0.664	0.098
0.665	0.098
0.666	0.098
0.667	0.096
0.668	0.096
0.669	0.098
0.67	0.097
0.671	0.097
0.672	0.098
0.673	0.097
0.674	0.098
0.675	0.097
0.676	0.097
0.677	0.098
0.678	0.097
0.679	0.096
0.68	0.097
0.681	0.098
0.682	0.097
0.683	0.098
0.684	0.097
0.685	0.098
0.686	0.097
0.687	0.098
0.688	0.097
0.689	0.097
0.69	0.097
0.691	0.1
0.692	0.101
0.693	0.097
0.694	0.1
0.695	0.1
0.696	0.097
0.697	0.097
0.698	0.096
0.699	0.097
0.7	0.097
0.701	0.097
0.702	0.096
0.703	0.097
0.704	0.097
0.705	0.1
0.706	0.098
0.707	0.1
0.708	0.098
0.709	0.098
0.71	0.098
0.711	0.098
0.712	0.098
0.713	0.1
0.714	0.1
0.715	0.098
0.716	0.098
0.717	0.098
0.718	0.097
0.719	0.097
0.72	0.1
0.721	0.1
0.722	0.098
0.723	0.101
0.724	0.101
0.725	0.1
0.726	0.1
0.727	0.098
0.728	0.1
0.729	0.098
0.73	0.098
0.731	0.097
0.732	0.096
0.733	0.098
0.734	0.098
0.735	0.098
0.736	0.098
0.737	0.098
0.738	0.1
0.739	0.1
0.74	0.1
0.741	0.101
0.742	0.1
0.743	0.1
0.744	0.1
0.745	0.1
0.746	0.098
0.747	0.097
0.748	0.098
0.749	0.098
0.75	0.098
0.751	0.101
0.752	0.1
0.753	0.097
0.754	0.101
0.755	0.1
0.756	0.1
0.757	0.097
0.758	0.098
0.759	0.098
0.76	0.1
0.761	0.098
0.762	0.098
0.763	0.098
0.764	0.098
0.765	0.098
0.766	0.098
0.767	0.1
0.768	0.101
0.769	0.101
0.77	0.101
0.771	0.101
0.772	0.098
0.773	0.1
0.774	0.1
0.775	0.1
0.776	0.1
0.777	0.101
0.778	0.098
0.779	0.1
0.78	0.098
0.781	0.098
0.782	0.1
0.783	0.1
0.784	0.1
0.785	0.1
0.786	0.101
0.787	0.1
0.788	0.1
0.789	0.1
0.79	0.1
0.791	0.101
0.792	0.101
0.793	0.101
0.794	0.1
0.795	0.101
0.796	0.1
0.797	0.101
0.798	0.093
0.799	0.085
0.8	0.096
0.804	0.096
0.808	0.096
