Name:  Limestone CaCO3
Type:  Rock
Class: Sedimentary
Subclass: Limestone 
Particle Size:  Whole rock chips
Sample No.:  ro357
Owner:  Larry Rowan, USGS
Wavelength range:  VNIR SWIR IR
Origin:  Ronda, Spain

Description:  gray limestone with white calcite veins





Measurement:  Reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  0.4
Last X Value:  14.01309  
Number of X Values:  2826
Additional Information:  ls357a.txt

0.4	        .294000
0.401	        .293000
0.402	        .293000
0.403	        .292000
0.404	        .294000
0.405	        .294000
0.406	        .293000
0.407	        .293000
0.408	        .293000
0.409	        .294000
0.41	        .294000
0.411	        .293000
0.412	        .295000
0.413	        .293000
0.414	        .294000
0.415	        .294000
0.416	        .293000
0.417	        .293000
0.418	        .297000
0.419	        .294000
0.42	        .294000
0.421	        .295000
0.422	        .295000
0.423	        .297000
0.424	        .293000
0.425	        .297000
0.426	        .294000
0.427	        .295000
0.428	        .298000
0.429	        .295000
0.43	        .299000
0.431	        .299000
0.432	        .297000
0.433	        .295000
0.434	        .299000
0.435	        .299000
0.436	        .300000
0.437	        .300000
0.438	        .299000
0.439	        .300000
0.44	        .300000
0.441	        .302000
0.442	        .302000
0.443	        .299000
0.444	        .303000
0.445	        .302000
0.446	        .300000
0.447	        .302000
0.448	        .303000
0.449	        .303000
0.45	        .304000
0.451	        .302000
0.452	        .298000
0.453	        .302000
0.454	        .302000
0.455	        .303000
0.456	        .303000
0.457	        .303000
0.458	        .303000
0.459	        .300000
0.46	        .300000
0.461	        .299000
0.462	        .299000
0.463	        .299000
0.464	        .300000
0.465	        .299000
0.466	        .303000
0.467	        .300000
0.468	        .300000
0.469	        .302000
0.47	        .303000
0.471	        .300000
0.472	        .303000
0.473	        .302000
0.474	        .304000
0.475	        .303000
0.476	        .299000
0.477	        .300000
0.478	        .304000
0.479	        .305000
0.48	        .303000
0.481	        .302000
0.482	        .305000
0.483	        .305000
0.484	        .304000
0.485	        .308000
0.486	        .308000
0.487	        .308000
0.488	        .306000
0.489	        .304000
0.49	        .303000
0.491	        .303000
0.492	        .305000
0.493	        .304000
0.494	        .306000
0.495	        .308000
0.496	        .306000
0.497	        .305000
0.498	        .306000
0.499	        .309000
0.5	        .306000
0.501	        .306000
0.502	        .310000
0.503	        .310000
0.504	        .310000
0.505	        .308000
0.506	        .310000
0.507	        .310000
0.508	        .310000
0.509	        .311000
0.51	        .311000
0.511	        .313000
0.512	        .311000
0.513	        .313000
0.514	        .314000
0.515	        .315000
0.516	        .315000
0.517	        .311000
0.518	        .315000
0.519	        .317000
0.52	        .315000
0.521	        .313000
0.522	        .315000
0.523	        .314000
0.524	        .316000
0.525	        .317000
0.526	        .316000
0.527	        .314000
0.528	        .314000
0.529	        .315000
0.53	        .320000
0.531	        .321000
0.532	        .319000
0.533	        .317000
0.534	        .319000
0.535	        .320000
0.536	        .322000
0.537	        .322000
0.538	        .324000
0.539	        .322000
0.54	        .324000
0.541	        .322000
0.542	        .322000
0.543	        .322000
0.544	        .325000
0.545	        .324000
0.546	        .324000
0.547	        .325000
0.548	        .324000
0.549	        .324000
0.55	        .324000
0.551	        .324000
0.552	        .325000
0.553	        .325000
0.554	        .326000
0.555	        .325000
0.556	        .330000
0.557	        .328000
0.558	        .328000
