Name:  Brown loamy fine sand
Type:  Soils
Class:  Alfisol
Subclass:  Haplustalf
Particle size:  see additional information
Sample No.:  87P3468
Owner:  JHU 
Wavelength range:  All
Origin:  Edwards Co., Ks. via USDA Soil Conservation service.

Description:  The parent material is eolian sand from upland slope in 
level or undulating plains.  Brown loamy fine sand (sandy, mixed, thermic 
psammentic).



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  87P3468a.txt

14.0112	2.1604
13.9734	2.1924
13.9359	2.2156
13.8985	2.2363
13.8614	2.2568
13.8244	2.2771
13.7876	2.2939
13.7511	2.3052
13.7147	2.3115
13.6785	2.3157
13.6425	2.3184
13.6067	2.3206
13.5711	2.3235
13.5356	2.3264
13.5004	2.3303
13.4653	2.3372
13.4304	2.3503
13.3957	2.3708
13.3612	2.3987
13.3269	2.4326
13.2927	2.4705
13.2587	2.5081
13.2249	2.5442
13.1912	2.5803
13.1577	2.6196
13.1244	2.6667
13.0913	2.7266
13.0583	2.8049
13.0255	2.9048
12.9929	3.0261
12.9604	3.1653
12.9281	3.3124
12.8959	3.4487
12.8639	3.5510
12.8321	3.5959
12.8004	3.5691
12.7688	3.4707
12.7375	3.3210
12.7063	3.1570
12.6752	3.0203
12.6443	2.9436
12.6135	2.9399
12.5829	2.9944
12.5524	3.0693
12.5221	3.1147
12.4919	3.0867
12.4619	2.9619
12.4320	2.7446
12.4023	2.4673
12.3727	2.1776
12.3432	1.9246
12.3139	1.7434
12.2847	1.6477
12.2557	1.6294
12.2268	1.6660
12.1980	1.7312
12.1694	1.8037
12.1409	1.8713
12.1125	1.9316
12.0843	1.9873
12.0562	2.0422
12.0282	2.0994
12.0003	2.1592
11.9726	2.2207
11.9450	2.2815
11.9176	2.3398
11.8903	2.3933
11.8631	2.4402
11.8360	2.4807
11.8090	2.5161
11.7822	2.5486
11.7555	2.5813
11.7289	2.6160
11.7024	2.6536
11.6760	2.6919
11.6498	2.7295
11.6237	2.7651
11.5977	2.7983
11.5718	2.8279
11.5460	2.8540
11.5203	2.8769
11.4948	2.8960
11.4694	2.9114
11.4440	2.9255
11.4188	2.9424
11.3937	2.9639
11.3688	2.9905
11.3439	3.0212
11.3191	3.0520
11.2944	3.0788
11.2699	3.0996
11.2455	3.1162
11.2211	3.1313
11.1969	3.1487
11.1727	3.1711
11.1487	3.1997
11.1248	3.2319
11.1010	3.2656
11.0773	3.2964
11.0536	3.3218
11.0301	3.3413
11.0067	3.3555
10.9834	3.3655
10.9602	3.3735
10.9370	3.3809
10.9140	3.3877
10.8911	3.3945
10.8682	3.4006
10.8455	3.4089
10.8229	3.4202
10.8003	3.4353
10.7779	3.4548
10.7555	3.4785
10.7332	3.5044
10.7111	3.5295
10.6890	3.5537
10.6670	3.5776
10.6451	3.6024
10.6233	3.6291
10.6015	3.6599
10.5799	3.6960
10.5584	3.7378
10.5369	3.7839
10.5155	3.8335
10.4942	3.8857
10.4730	3.9397
10.4519	3.9956
10.4309	4.0549
10.4099	4.1179
10.3891	4.1858
10.3683	4.2585
10.3476	4.3364
10.3270	4.4197
10.3065	4.5083
10.2860	4.6018
10.2656	4.6997
10.2454	4.8003
10.2251	4.9028
10.2050	5.0068
10.1850	5.1133
10.1650	5.2231
10.1451	5.3376
10.1253	5.4563
10.1056	5.5776
10.0859	5.6990
10.0663	5.8188
10.0468	5.9363
10.0274	6.0530
10.0080	6.1714
9.9887	6.2922
9.9695	6.4140
9.9504	6.5342
9.9313	6.6470
9.9123	6.7468
9.8934	6.8303
9.8746	6.8984
9.8558	6.9570
9.8371	7.0129
9.8185	7.0735
9.7999	7.1450
9.7814	7.2300
9.7630	7.3284
9.7447	7.4375
9.7264	7.5542
9.7082	7.6775
9.6900	7.8052
9.6719	7.9365
9.6539	8.0713
9.6360	8.2085
9.6181	8.3464
9.6003	8.4822
9.5825	8.6135
9.5649	8.7397
9.5472	8.8603
9.5297	8.9765
9.5122	9.0920
9.4948	9.2136
9.4774	9.3506
9.4601	9.5136
9.4429	9.7129
9.4257	9.9533
9.4086	10.2346
9.3916	10.5442
9.3746	10.8635
9.3577	11.1692
9.3408	11.4382
9.3240	11.6540
9.3073	11.8064
9.2906	11.8952
9.2740	11.9292
9.2574	11.9206
9.2409	11.8845
9.2245	11.8344
9.2081	11.7798
9.1918	11.7246
9.1755	11.6682
9.1593	11.6064
9.1431	11.5368
9.1270	11.4568
9.1110	11.3664
9.0950	11.2688
9.0791	11.1679
9.0632	11.0688
9.0474	10.9756
9.0316	10.8930
9.0159	10.8281
9.0003	10.7863
8.9847	10.7707
8.9691	10.7827
8.9536	10.8193
8.9382	10.8730
8.9228	10.9328
8.9075	10.9887
8.8922	11.0342
8.8770	11.0652
8.8618	11.0808
8.8467	11.0835
8.8316	11.0764
8.8166	11.0591
8.8016	11.0317
8.7867	10.9951
8.7718	10.9509
8.7570	10.8974
8.7422	10.8269
8.7275	10.7209
8.7129	10.5549
8.6982	10.3078
8.6837	9.9812
8.6692	9.6098
8.6547	9.2629
8.6403	9.0229
8.6259	8.9568
8.6116	9.0875
8.5973	9.3865
8.5830	9.7810
8.5688	10.1863
8.5547	10.5324
8.5406	10.7846
8.5266	10.9438
8.5126	11.0337
8.4986	11.0849
8.4847	11.1213
8.4708	11.1570
8.4570	11.1970
8.4432	11.2412
8.4295	11.2859
8.4158	11.3274
8.4022	11.3625
8.3886	11.3882
8.3750	11.4025
8.3615	11.4079
8.3481	11.4057
8.3347	11.3991
8.3213	11.3901
8.3079	11.3794
8.2946	11.3664
8.2814	11.3488
8.2682	11.3227
8.2550	11.2837
8.2419	11.2260
8.2288	11.1430
8.2158	11.0266
8.2028	10.8659
8.1898	10.6511
8.1769	10.3738
8.1640	10.0317
8.1512	9.6289
8.1384	9.1780
8.1256	8.6968
8.1129	8.2043
8.1002	7.7175
8.0876	7.2480
8.0750	6.8020
8.0624	6.3830
8.0499	5.9922
8.0374	5.6299
8.0250	5.2954
8.0126	4.9866
8.0002	4.6990
7.9879	4.4260
7.9756	4.1628
7.9634	3.9076
7.9512	3.6597
7.9390	3.4231
7.9268	3.2026
7.9147	3.0007
7.9027	2.8184
7.8906	2.6540
7.8786	2.5056
7.8667	2.3726
7.8548	2.2546
7.8429	2.1531
7.8310	2.0684
7.8192	1.9998
7.8075	1.9453
7.7957	1.9006
7.7840	1.8608
7.7723	1.8215
7.7607	1.7793
7.7491	1.7334
7.7375	1.6848
7.7260	1.6360
7.7145	1.5908
7.7031	1.5515
7.6916	1.5195
7.6802	1.4927
7.6689	1.4670
7.6575	1.4392
7.6462	1.4070
7.6350	1.3713
7.6238	1.3357
7.6126	1.3040
7.6014	1.2793
7.5903	1.2612
7.5792	1.2480
7.5681	1.2368
7.5571	1.2256
7.5461	1.2131
7.5351	1.2002
7.5242	1.1870
7.5133	1.1741
7.5024	1.1616
7.4916	1.1501
7.4807	1.1404
7.4700	1.1326
7.4592	1.1270
7.4485	1.1230
7.4378	1.1201
7.4272	1.1174
7.4165	1.1147
7.4059	1.1128
7.3954	1.1123
7.3848	1.1123
7.3743	1.1123
7.3639	1.1101
7.3534	1.1055
7.3430	1.0989
7.3326	1.0920
7.3223	1.0879
7.3119	1.0876
7.3016	1.0911
7.2914	1.0977
7.2811	1.1042
7.2709	1.1089
7.2607	1.1103
7.2506	1.1101
7.2404	1.1096
7.2303	1.1111
7.2203	1.1155
7.2102	1.1228
7.2002	1.1304
7.1902	1.1365
7.1803	1.1406
7.1703	1.1433
7.1604	1.1462
7.1506	1.1504
7.1407	1.1577
7.1309	1.1665
7.1211	1.1746
7.1113	1.1802
7.1016	1.1819
7.0919	1.1797
7.0822	1.1748
7.0725	1.1697
7.0629	1.1660
7.0533	1.1655
7.0437	1.1677
7.0341	1.1721
7.0246	1.1787
7.0151	1.1863
7.0056	1.1951
6.9962	1.2043
6.9867	1.2144
6.9773	1.2251
6.9679	1.2356
6.9586	1.2449
6.9493	1.2537
6.9400	1.2612
6.9307	1.2683
6.9214	1.2759
6.9122	1.2834
6.9030	1.2913
6.8938	1.2978
6.8847	1.3032
6.8755	1.3066
6.8664	1.3096
6.8573	1.3124
6.8483	1.3164
6.8393	1.3232
6.8302	1.3328
6.8213	1.3455
6.8123	1.3616
6.8034	1.3811
6.7944	1.4036
6.7855	1.4280
6.7767	1.4524
6.7678	1.4744
6.7590	1.4917
6.7502	1.5024
6.7414	1.5073
6.7327	1.5081
6.7239	1.5073
6.7152	1.5071
6.7065	1.5081
6.6979	1.5117
6.6892	1.5159
6.6806	1.5195
6.6720	1.5220
6.6634	1.5220
6.6549	1.5193
6.6464	1.5137
6.6378	1.5054
6.6294	1.4956
6.6209	1.4858
6.6124	1.4778
6.6040	1.4722
6.5956	1.4697
6.5872	1.4695
6.5789	1.4702
6.5705	1.4712
6.5622	1.4714
6.5539	1.4722
6.5456	1.4736
6.5374	1.4773
6.5292	1.4841
6.5209	1.4949
6.5128	1.5071
6.5046	1.5190
6.4964	1.5298
6.4883	1.5381
6.4802	1.5447
6.4721	1.5520
6.4640	1.5603
6.4560	1.5698
6.4480	1.5789
6.4399	1.5850
6.4320	1.5867
6.4240	1.5835
6.4160	1.5781
6.4081	1.5727
6.4002	1.5686
6.3923	1.5654
6.3844	1.5608
6.3766	1.5527
6.3687	1.5391
6.3609	1.5207
6.3531	1.5010
6.3454	1.4827
6.3376	1.4674
6.3299	1.4561
6.3221	1.4482
6.3144	1.4416
6.3068	1.4343
6.2991	1.4250
6.2914	1.4141
6.2838	1.4014
6.2762	1.3870
6.2686	1.3718
6.2611	1.3579
6.2535	1.3462
6.2460	1.3379
6.2385	1.3326
6.2310	1.3296
6.2235	1.3267
6.2160	1.3215
6.2086	1.3140
6.2011	1.3047
6.1937	1.2957
6.1863	1.2886
6.1790	1.2849
6.1716	1.2852
6.1643	1.2883
6.1570	1.2937
6.1496	1.3013
6.1424	1.3101
6.1351	1.3191
6.1278	1.3276
6.1206	1.3347
6.1134	1.3403
6.1062	1.3440
6.0990	1.3457
6.0918	1.3459
6.0847	1.3450
6.0776	1.3428
6.0704	1.3396
6.0633	1.3364
6.0563	1.3347
6.0492	1.3347
6.0421	1.3376
6.0351	1.3440
6.0281	1.3540
6.0211	1.3660
6.0141	1.3784
6.0071	1.3901
6.0002	1.3997
5.9932	1.4062
5.9863	1.4106
5.9794	1.4133
5.9725	1.4160
5.9657	1.4194
5.9588	1.4246
5.9520	1.4341
5.9451	1.4476
5.9383	1.4658
5.9315	1.4880
5.9247	1.5129
5.9180	1.5386
5.9112	1.5632
5.9045	1.5876
5.8978	1.6130
5.8911	1.6416
5.8844	1.6755
5.8777	1.7153
5.8711	1.7588
5.8644	1.8037
